Filename,MSE,PSNR,SSIM
000.jpg,1.2014668782552083,47.33368558086933,0.9904510083874752
001.jpg,1.26324462890625,47.1159290049739,0.9921528742126031
002.jpg,1.323883056640625,46.91230736865998,0.9933581267387169
003.jpg,1.2971954345703125,47.00074949347094,0.9871138212124247
004.jpg,1.2307688395182292,47.22903868577342,0.9963977423088061
005.jpg,1.338775634765625,46.86372561113401,0.995299344909197
006.jpg,1.3268636067708333,46.90254078448972,0.9970546899575407
007.jpg,1.3255513509114583,46.906838042152366,0.9875060037842968
008.jpg,1.299713134765625,46.99232852973427,0.9921728450194864
009.jpg,1.3295338948567708,46.89380947247244,0.9890748972361983
010.jpg,1.3266754150390625,46.903156796767014,0.9906237279906609
011.jpg,1.2773488362630208,47.067708442030195,0.9954521926994958
012.jpg,1.3294677734375,46.89402546457109,0.9892024273255652
013.jpg,1.28125,47.05446482468081,0.994107793531367
014.jpg,1.274444580078125,47.07759406185863,0.9968583324229331
015.jpg,1.2500712076822917,47.161456084817104,0.994197669471057
016.jpg,1.180908203125,47.408642214472295,0.9977902683893635
017.jpg,1.3189442952473958,46.92853907078586,0.9951193300746409
018.jpg,1.3302764892578125,46.89138445254643,0.9896618578957024
019.jpg,1.3033396402994792,46.98022756600427,0.9898903359435015
020.jpg,1.310577392578125,46.95617688750349,0.991173778379121
021.jpg,1.2430063883463542,47.18607000193731,0.9904588519338681
022.jpg,1.3234202067057292,46.91382599463311,0.9872226760704508
023.jpg,1.3171234130859375,46.93453891060934,0.993325499020577
024.jpg,1.2618408203125,47.12075788226131,0.9933986607830807
025.jpg,1.2940317789713542,47.01135418953753,0.9889727359054614
026.jpg,1.1707255045572917,47.44625281193116,0.9916780749289149
027.jpg,1.3322703043619792,46.88488013073241,0.9910048442107461
028.jpg,1.294952392578125,47.008265584897686,0.9885097415245628
029.jpg,1.296783447265625,47.00212902524583,0.995176369525109
030.jpg,1.2145843505859375,47.286526797490396,0.9946722351345945
031.jpg,1.2944081624348958,47.01009117964625,0.9952041752589231
032.jpg,1.3193155924479167,46.927316656518414,0.9885818677531596
033.jpg,1.3287302652994792,46.89643533560591,0.9955286106422424
034.jpg,1.3318074544270833,46.8863891946029,0.9943755286706996
035.jpg,1.3302663167317708,46.891417662851616,0.9918680994997725
036.jpg,1.3381907145182292,46.865623488108874,0.9904654512416505
037.jpg,1.3399302164713542,46.85998179958766,0.9908451268428383
038.jpg,1.17376708984375,47.43498432295932,0.9918935676330941
039.jpg,1.3136545817057292,46.94599175994228,0.9917417981875153
040.jpg,1.2337544759114583,47.21851619619703,0.99584651683507
041.jpg,1.3291117350260417,46.895188683635055,0.9866587602986966
042.jpg,1.3067220052083333,46.9689715618366,0.992125474154419
043.jpg,1.2861073811848958,47.03803130141953,0.9948753131848594
044.jpg,1.2795206705729167,47.06033054589027,0.9937397161589523
045.jpg,1.3203582763671875,46.923885688008184,0.994532834615256
046.jpg,1.31732177734375,46.933884894325,0.9938396974980663
047.jpg,1.262969970703125,47.11687336292761,0.9955470695303031
048.jpg,1.3256123860677083,46.90663807538912,0.9924542137564624
049.jpg,1.3363037109375,46.87175186415355,0.9924560305886296
050.jpg,1.335968017578125,46.872842994017326,0.9936007729876352
051.jpg,1.2797800699869792,47.059450182494615,0.9912286622427006
052.jpg,1.2635396321614583,47.11491492325401,0.99169970024529
053.jpg,1.3252309163411458,46.90788801874301,0.9939905741584868
054.jpg,1.2925821940104167,47.01622191871604,0.9957600920841777
055.jpg,1.3167470296223958,46.93578013538455,0.9953365590820704
056.jpg,1.3364613850911458,46.87123945836788,0.9950334783875876
057.jpg,1.3305867513020833,46.89037166021403,0.9901036383350047
058.jpg,1.3196461995442708,46.92622849496328,0.9968334731769035
059.jpg,1.3312581380208333,46.88818085221819,0.992629998613081
060.jpg,1.318511962890625,46.92996286356344,0.9963340132255074
061.jpg,1.3247934977213542,46.90932173002185,0.990093960747549
062.jpg,1.3156534830729167,46.93938841047165,0.99672870966749
063.jpg,1.3249715169270833,46.90873818575729,0.9950753058085365
064.jpg,1.3153228759765625,46.94047987477073,0.9955909886329103
